fight_id,event_id,date,r_name,b_name,r_age,b_age,r_height,b_height,r_weight,b_weight,weight_class,rprev,bprev,bstreak,winner,r_win,win_method,last_round,max_round,height_diff,age_diff,r_sig_strikes_landed,r_sig_strikes_attempted,r_sig_strike_accuracy,r_total_strikes_landed,r_total_strikes_attempted,r_knockdowns,r_takedowns_landed,r_takedowns_attempted,r_takedown_accuracy,r_sub_attempts,r_head_sig_strikes,r_body_sig_strikes,r_distance_strikes,r_clinch_sig_strikes,r_ground_sig_strikes,r_control_time,b_sig_strikes_landed,b_sig_strikes_attempted,b_sig_strike_accuracy,b_total_strikes_landed,b_total_strikes_attempted,b_knockdowns,b_takedowns_landed,b_takedowns_attempted,b_takedown_accuracy,b_sub_attempts,b_head_sig_strikes,b_body_sig_strikes,b_distance_strikes,b_clinch_sig_strikes,b_ground_sig_strikes,b_control_time,sig_strike_diff,takedown_diff,knockdown_diff,control_time_diff,strike_accuracy_diff
5166,697,2015-12-11,Emily Peters Kagan,Angela Hill,37.0,33.0,160.0,160.0,52.0,52.0,Strawweight,0,0,0,blue,0,Decision,3,3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5167,697,2015-01-07,Carla Esparza,Rose Namajunas,30.0,26.0,154.0,165.0,52.0,52.0,Strawweight,0,0,0,red,1,Submission,3,5,-11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5172,697,2014-12-16,Jessica Penne,Randa Markos,35.0,33.0,165.0,162.0,52.0,52.0,Strawweight,0,0,0,red,1,Decision,3,3,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5105,698,2015-01-19,Conor McGregor,Dennis Siver,30.0,39.0,175.0,170.0,70.0,65.0,Lightweight,2,1,1,red,1,KO/TKO,2,5,5.0,-9.0,27.0,78.0,34.61538461538461,46.0,97.0,2.0,1.0,1.0,100.0,0.0,23.0,4.0,15.0,0.0,12.0,139.0,33.0,86.0,38.372093023255815,109.0,171.0,0.0,3.0,3.0,100.0,1.0,22.0,4.0,31.0,0.0,2.0,532.0,-6.0,-2.0,2.0,-393.0,-3.7567084078712014
5116,698,2015-01-19,Donald Cerrone,Benson Henderson,35.0,34.0,185.0,175.0,77.0,77.0,Welterweight,5,3,0,red,1,Decision,3,3,10.0,1.0,189.0,384.0,49.21875,223.0,426.0,4.0,2.0,7.0,28.57142857142857,4.0,64.0,54.0,155.0,20.0,14.0,450.0,97.0,194.0,50.0,165.0,299.0,1.0,5.0,8.0,62.5,3.0,29.0,41.0,75.0,17.0,5.0,466.0,92.0,-3.0,3.0,-16.0,-0.78125
5117,698,2015-01-20,Uriah Hall,Ron Stallings,34.0,35.0,182.0,182.0,84.0,84.0,Middleweight,1,0,0,red,1,KO/TKO,1,3,0.0,-1.0,42.0,113.0,37.16814159292036,42.0,113.0,0.0,1.0,1.0,100.0,1.0,22.0,4.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5118,698,2015-01-20,Norman Parke,Gleison Tibau,31.0,35.0,180.0,177.0,70.0,70.0,Lightweight,2,2,2,blue,0,Decision,3,3,3.0,-4.0,71.0,207.0,34.29951690821256,133.0,279.0,0.0,2.0,10.0,20.0,0.0,46.0,13.0,25.0,22.0,24.0,753.0,74.0,167.0,44.31137724550898,128.0,232.0,0.0,9.0,17.0,52.94117647058824,0.0,59.0,7.0,50.0,16.0,8.0,510.0,-3.0,-7.0,0.0,243.0,-10.011860337296419
5121,698,2015-01-20,John Howard,Lorenz Larkin,35.0,32.0,170.0,180.0,77.0,77.0,Welterweight,2,3,0,blue,0,KO/TKO,1,3,-10.0,3.0,77.0,119.0,64.70588235294117,170.0,220.0,1.0,3.0,6.0,50.0,0.0,36.0,18.0,51.0,25.0,1.0,227.0,75.0,183.0,40.98360655737705,94.0,204.0,0.0,0.0,0.0,0.0,0.0,43.0,16.0,47.0,28.0,0.0,49.0,2.0,3.0,1.0,178.0,23.722275795564123
5122,698,2015-01-20,Paddy Holohan,Shane Howell,30.0,34.0,177.0,172.0,56.0,56.0,Flyweight,2,1,0,red,1,Decision,3,3,5.0,-4.0,36.0,74.0,48.64864864864865,75.0,115.0,1.0,3.0,7.0,42.857142857142854,1.0,20.0,5.0,24.0,1.0,11.0,456.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,1.0,456.0,48.64864864864865
5154,698,2015-01-20,Tateki Matsuda,Joby Sanchez,32.0,27.0,170.0,167.0,56.0,56.0,Flyweight,1,1,0,blue,0,Decision,3,3,3.0,5.0,41.0,111.0,36.93693693693694,70.0,142.0,0.0,0.0,1.0,0.0,0.0,19.0,4.0,37.0,1.0,3.0,93.0,20.0,86.0,23.25581395348837,36.0,102.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,15.0,0.0,5.0,19.0,21.0,0.0,-1.0,74.0,13.681122983448567
